person_id,method,matched_frames,valid_points,mpjpe,median,p95,evaluation_protocol
45,avg_body_current,1123,78610,0.0536685540673989,0.0455052208027874,0.1158702937493848,similarity_plus_hip_centering
48,avg_body_current,1090,76300,0.0532071604434665,0.0461849035885168,0.1215943413023865,similarity_plus_hip_centering
50,avg_body_current,1120,78400,0.0708861122872443,0.0598783611338391,0.1645636115521974,similarity_plus_hip_centering
57,avg_body_current,1227,85890,0.0728307972492628,0.0658307410586616,0.1517198244649945,similarity_plus_hip_centering
71,avg_body_current,1120,78400,0.0643190214355336,0.0550363452079418,0.1447040290812782,similarity_plus_hip_centering
73,avg_body_current,1113,77910,0.057358034042419,0.0482038818516463,0.1322600393992035,similarity_plus_hip_centering
84,avg_body_current,1108,77560,0.0522606735436669,0.0447989833106985,0.1175030187942105,similarity_plus_hip_centering
86,avg_body_current,1115,78050,0.0420756805249952,0.0376271545513411,0.0938147450536935,similarity_plus_hip_centering
88,avg_body_current,962,67340,0.0731795680514972,0.0620409767735904,0.1574496572678745,similarity_plus_hip_centering
89,avg_body_current,1108,77560,0.0614859107680023,0.0513903031097403,0.1519119202723753,similarity_plus_hip_centering
96,avg_body_current,1110,77700,0.0539175090442404,0.0483223022461435,0.1198925781924801,similarity_plus_hip_centering
98,avg_body_current,1122,78540,0.0452909220198956,0.0392068951806652,0.1062044100977044,similarity_plus_hip_centering
1,avg_body_current,955,66850,0.0597813652534011,0.0505368673046243,0.1460585328370597,similarity_plus_hip_centering
106,avg_body_current,1121,78470,0.0763117622670871,0.0642338282565266,0.1833896024315748,similarity_plus_hip_centering
116,avg_body_current,1153,80710,0.0597253560943097,0.0509098892429827,0.1407974683617613,similarity_plus_hip_centering
117,avg_body_current,1114,77980,0.0579773961490078,0.0463077354681466,0.1442723578860715,similarity_plus_hip_centering
130,avg_body_current,1117,78190,0.078008985755072,0.0622400654224713,0.1966015677119908,similarity_plus_hip_centering
136,avg_body_current,949,66430,0.0689794332533419,0.0641691325021489,0.141655701959749,similarity_plus_hip_centering
24,avg_body_current,949,66430,0.0638938099042948,0.0540856142868293,0.1471844758456812,similarity_plus_hip_centering
36,avg_body_current,1112,77840,0.0525755849554172,0.0459227393851941,0.1202126371263749,similarity_plus_hip_centering
49,avg_body_current,1125,78750,0.0577645106277067,0.0499644345897498,0.137630433179011,similarity_plus_hip_centering
51,avg_body_current,1110,77700,0.0566203008084226,0.0469297025269883,0.1302561146283979,similarity_plus_hip_centering
52,avg_body_current,1122,78540,0.0539762750455623,0.0465070238364268,0.125972034975658,similarity_plus_hip_centering
60,avg_body_current,1123,78610,0.0643011734258108,0.0521052166246971,0.1606928944085095,similarity_plus_hip_centering
79,avg_body_current,1115,78050,0.0567533157459527,0.0490563838445009,0.1347807539161862,similarity_plus_hip_centering
85,avg_body_current,966,67620,0.0449334082070077,0.0373306115236676,0.1057259669716302,similarity_plus_hip_centering
10,avg_world_face_ref,949,66430,0.1691851976483751,0.1432692533018797,0.3955336590769133,similarity_plus_hip_centering
100,avg_world_face_ref,1112,77840,0.1124776919485466,0.110235114450987,0.212149059612443,similarity_plus_hip_centering
101,avg_world_face_ref,977,68390,0.0979138046053177,0.0919090816786856,0.171093558674148,similarity_plus_hip_centering
102,avg_world_face_ref,1114,77980,0.1074524874430985,0.0997952337344995,0.2139445314952676,similarity_plus_hip_centering
103,avg_world_face_ref,971,67970,0.1307696370013038,0.1137685430077152,0.3093743191578115,similarity_plus_hip_centering
104,avg_world_face_ref,1083,75810,0.1004229007469157,0.097464830146393,0.1923801197077757,similarity_plus_hip_centering
105,avg_world_face_ref,1278,89460,0.1145404284394796,0.0946125916305576,0.2621899396752207,similarity_plus_hip_centering
108,avg_world_face_ref,1123,78610,0.1404410620838992,0.1194845480819159,0.3357733251612517,similarity_plus_hip_centering
109,avg_world_face_ref,1145,80150,0.1420955544977406,0.120803998934823,0.3181946064029479,similarity_plus_hip_centering
11,avg_world_face_ref,1116,78120,0.1175228198368998,0.1053605671627564,0.2289507556604511,similarity_plus_hip_centering
110,avg_world_face_ref,1113,77910,0.1151305410213651,0.0989736531707428,0.2589653313537042,similarity_plus_hip_centering
111,avg_world_face_ref,1106,77420,0.128955538397372,0.1091303290898624,0.3063943152212824,similarity_plus_hip_centering
112,avg_world_face_ref,1127,78890,0.1127636902189737,0.1099410100351229,0.1900093841592733,similarity_plus_hip_centering
113,avg_world_face_ref,1123,78610,0.1014501032106056,0.100001745325283,0.1798350530314618,similarity_plus_hip_centering
114,avg_world_face_ref,1431,100170,0.1187344827913765,0.1092386015786343,0.2475104922285558,similarity_plus_hip_centering
115,avg_world_face_ref,1141,79870,0.1182670281608077,0.1026419880717997,0.2621404188251744,similarity_plus_hip_centering
119,avg_world_face_ref,968,67760,0.1377790578486163,0.1149141186600344,0.3494849724182403,similarity_plus_hip_centering
120,avg_world_face_ref,957,66990,0.153683577461603,0.1317293355302822,0.3662006696085763,similarity_plus_hip_centering
121,avg_world_face_ref,964,67480,0.1334304742965498,0.1032038531107026,0.3387090390211124,similarity_plus_hip_centering
122,avg_world_face_ref,1110,77700,0.1229678678749361,0.1161624282897252,0.2406835313378639,similarity_plus_hip_centering
124,avg_world_face_ref,1100,77000,0.1231799930462941,0.1070555502803817,0.2612284738867464,similarity_plus_hip_centering
125,avg_world_face_ref,955,66850,0.1384363353955904,0.1116777337866339,0.352583881909686,similarity_plus_hip_centering
127,avg_world_face_ref,957,66990,0.1381360782902218,0.116458747642552,0.3460461993358233,similarity_plus_hip_centering
128,avg_world_face_ref,967,67690,0.1808118359696613,0.1258578793273624,0.535799751385023,similarity_plus_hip_centering
129,avg_world_face_ref,1107,77490,0.1497475601114349,0.1235623082620885,0.3656613920503753,similarity_plus_hip_centering
131,avg_world_face_ref,1112,77840,0.128716362402715,0.1127722801325205,0.3104175977648908,similarity_plus_hip_centering
132,avg_world_face_ref,1114,77980,0.1072138505765793,0.0982341041847282,0.235185454795983,similarity_plus_hip_centering
133,avg_world_face_ref,1119,78330,0.1494155780127439,0.1190183797390252,0.3816594337240203,similarity_plus_hip_centering
134,avg_world_face_ref,1123,78610,0.1445266560473627,0.1168970424042829,0.3588925527337601,similarity_plus_hip_centering
138,avg_world_face_ref,1120,78400,0.1355767677844773,0.1174218893432549,0.264776268846375,similarity_plus_hip_centering
14,avg_world_face_ref,946,66220,0.1034788205090154,0.0974538561915757,0.2153090950649363,similarity_plus_hip_centering
15,avg_world_face_ref,1104,77280,0.1307983458177922,0.1189434726733712,0.2869803714678173,similarity_plus_hip_centering
16,avg_world_face_ref,960,67200,0.1492186442429315,0.1291104001215581,0.3795095503349169,similarity_plus_hip_centering
18,avg_world_face_ref,1109,77630,0.1097997427183366,0.0974348114772683,0.2507809574286914,similarity_plus_hip_centering
19,avg_world_face_ref,955,66850,0.1363807629015663,0.1273701054720636,0.2765180370073326,similarity_plus_hip_centering
2,avg_world_face_ref,1114,77980,0.1218733957743253,0.1059441234275638,0.2741703844297716,similarity_plus_hip_centering
20,avg_world_face_ref,1129,79030,0.1375756754032364,0.129541482059635,0.2890003132610282,similarity_plus_hip_centering
21,avg_world_face_ref,964,67480,0.1062795801110244,0.0973896111412476,0.2174188748826694,similarity_plus_hip_centering
22,avg_world_face_ref,953,66710,0.1170804472499552,0.1087471135819184,0.2491552501573806,similarity_plus_hip_centering
25,avg_world_face_ref,1128,78960,0.1228490033727732,0.1006857523246987,0.3031985737478279,similarity_plus_hip_centering
26,avg_world_face_ref,961,67270,0.1105704505252297,0.1100857588513466,0.1926049578248723,similarity_plus_hip_centering
28,avg_world_face_ref,1124,78680,0.1371254974991007,0.1124984008324472,0.3292859071854603,similarity_plus_hip_centering
29,avg_world_face_ref,1112,77840,0.1031464683340398,0.0957532031437953,0.1952912462581079,similarity_plus_hip_centering
3,avg_world_face_ref,1119,78330,0.1484826242188262,0.1110386759261264,0.4203391044337346,similarity_plus_hip_centering
30,avg_world_face_ref,1119,78330,0.1283693707554153,0.1121451758843816,0.2724854095929392,similarity_plus_hip_centering
33,avg_world_face_ref,958,67060,0.1169023030240284,0.1005007037090656,0.2820434906264464,similarity_plus_hip_centering
35,avg_world_face_ref,1117,78190,0.1190582378255761,0.103333175433067,0.2589030306673116,similarity_plus_hip_centering
39,avg_world_face_ref,1028,71960,0.122294914492851,0.1094155977716167,0.2887505066609858,similarity_plus_hip_centering
4,avg_world_face_ref,1145,80150,0.131357642001411,0.1112302689768704,0.3038863990413499,similarity_plus_hip_centering
40,avg_world_face_ref,1128,78960,0.1389751513741985,0.1139784331532119,0.3441815362887803,similarity_plus_hip_centering
41,avg_world_face_ref,1195,83650,0.1034953053638103,0.0924214421849581,0.2210248870241561,similarity_plus_hip_centering
42,avg_world_face_ref,1115,78050,0.1293617310158898,0.1188751703018722,0.2548915080513921,similarity_plus_hip_centering
43,avg_world_face_ref,1123,78610,0.1532493807652006,0.1316286239999385,0.3599197135946269,similarity_plus_hip_centering
44,avg_world_face_ref,1133,79310,0.1173119328194631,0.1102072410616383,0.2302696022595409,similarity_plus_hip_centering
46,avg_world_face_ref,1116,78120,0.1303230780327803,0.1278625763143367,0.2462997461503728,similarity_plus_hip_centering
47,avg_world_face_ref,1118,78260,0.1068130535990866,0.0967925604180833,0.2199783397464148,similarity_plus_hip_centering
5,avg_world_face_ref,1110,77700,0.1203676355419035,0.1105804167191295,0.2473052386151848,similarity_plus_hip_centering
53,avg_world_face_ref,961,67270,0.1188726912741934,0.1101875664360763,0.2249238846214503,similarity_plus_hip_centering
54,avg_world_face_ref,1119,78330,0.1158369111660732,0.1047647566426814,0.2588091260466281,similarity_plus_hip_centering
55,avg_world_face_ref,1116,78120,0.1199950528210323,0.1135442645018741,0.2113967967296384,similarity_plus_hip_centering
56,avg_world_face_ref,1094,76580,0.1224373931282749,0.1188327185540694,0.2206518901594391,similarity_plus_hip_centering
58,avg_world_face_ref,1112,77840,0.1341822712634379,0.1125386310485091,0.3075809016353897,similarity_plus_hip_centering
59,avg_world_face_ref,1075,75250,0.1082882361810224,0.090682650151336,0.2453996009356958,similarity_plus_hip_centering
6,avg_world_face_ref,1113,77910,0.1468292459373934,0.1231528135295112,0.3947133917425343,similarity_plus_hip_centering
61,avg_world_face_ref,948,66360,0.1681245832143322,0.1433580849154036,0.4144324238911259,similarity_plus_hip_centering
62,avg_world_face_ref,946,66220,0.1389226175805017,0.1251484555958802,0.3121234772839529,similarity_plus_hip_centering
63,avg_world_face_ref,1114,77980,0.149449849650097,0.1289441889264315,0.3513423929207796,similarity_plus_hip_centering
64,avg_world_face_ref,1121,78470,0.1347921857585981,0.1197076156096581,0.3118146186927724,similarity_plus_hip_centering
65,avg_world_face_ref,1124,78680,0.1214083012733591,0.1070320336169468,0.269775413591686,similarity_plus_hip_centering
66,avg_world_face_ref,965,67550,0.1485859106374343,0.1220881931409481,0.3565889240380758,similarity_plus_hip_centering
67,avg_world_face_ref,1115,78050,0.1117867211312584,0.0956888436649793,0.2687891116189373,similarity_plus_hip_centering
68,avg_world_face_ref,967,67690,0.0883923057289143,0.0762568984533479,0.1906023255742349,similarity_plus_hip_centering
69,avg_world_face_ref,961,67270,0.1199322084882497,0.1124292298154466,0.2434719668221556,similarity_plus_hip_centering
7,avg_world_face_ref,954,66780,0.1535110801299512,0.1302080623299698,0.3546583087329179,similarity_plus_hip_centering
70,avg_world_face_ref,1128,78960,0.1212626701456881,0.1122470671729108,0.2513635412188699,similarity_plus_hip_centering
72,avg_world_face_ref,1112,77840,0.1065342212759912,0.0978246691638918,0.2128782311005082,similarity_plus_hip_centering
74,avg_world_face_ref,1126,78820,0.1330633067308219,0.1196302582350762,0.2831434108359607,similarity_plus_hip_centering
75,avg_world_face_ref,1117,78190,0.1196455023806791,0.1135631950625555,0.2355758363921726,similarity_plus_hip_centering
76,avg_world_face_ref,1060,74200,0.1207542311591955,0.1119749159920707,0.2345439446670511,similarity_plus_hip_centering
77,avg_world_face_ref,1119,78330,0.1018667471909838,0.0957556335910337,0.2174090438282341,similarity_plus_hip_centering
78,avg_world_face_ref,957,66990,0.1050591712037403,0.0930983272760586,0.2232141473640297,similarity_plus_hip_centering
8,avg_world_face_ref,1136,79520,0.1168527845315536,0.1121338402909462,0.2005745310013376,similarity_plus_hip_centering
80,avg_world_face_ref,1102,77140,0.1127439492519605,0.1003686313336765,0.2399133758352131,similarity_plus_hip_centering
81,avg_world_face_ref,1118,78260,0.1419716317370294,0.1225373396864084,0.3080031963963455,similarity_plus_hip_centering
82,avg_world_face_ref,1111,77770,0.1154128389703549,0.1087429897141493,0.2367802884825363,similarity_plus_hip_centering
83,avg_world_face_ref,1119,78330,0.1317343478647985,0.1109609277663159,0.3156744593994215,similarity_plus_hip_centering
87,avg_world_face_ref,1168,81760,0.0954555372103589,0.0860323149165726,0.1981562717895043,similarity_plus_hip_centering
9,avg_world_face_ref,1114,77980,0.1201138152458076,0.1071507975217795,0.2553434331753479,similarity_plus_hip_centering
90,avg_world_face_ref,959,67130,0.124054703918868,0.11680930526447,0.2533997358338311,similarity_plus_hip_centering
91,avg_world_face_ref,1113,77910,0.0963622273906324,0.0882455165381215,0.1919053062526581,similarity_plus_hip_centering
92,avg_world_face_ref,1119,78330,0.1191100455095889,0.1053000640311484,0.2661779809265963,similarity_plus_hip_centering
93,avg_world_face_ref,1111,77770,0.1578361673275399,0.1323311024479607,0.3843511087026235,similarity_plus_hip_centering
94,avg_world_face_ref,1123,78610,0.1178891781850735,0.1058429382710915,0.2473616138854288,similarity_plus_hip_centering
95,avg_world_face_ref,1109,77630,0.1063174524590715,0.096984427109121,0.1998115194805268,similarity_plus_hip_centering
97,avg_world_face_ref,1107,77490,0.0956662839323605,0.0924764073326579,0.1746695494766198,similarity_plus_hip_centering
99,avg_world_face_ref,1111,77770,0.0962791638244452,0.0853579171498609,0.1925597174950625,similarity_plus_hip_centering
107,avg_world_face_ref,946,66220,0.1067397476291674,0.0965213107062204,0.2281257722254668,similarity_plus_hip_centering
118,avg_world_face_ref,1114,77980,0.0973073096002445,0.0830461528157117,0.2127604920450934,similarity_plus_hip_centering
12,avg_world_face_ref,955,66850,0.1320922546567218,0.126312918403716,0.2506001683558312,similarity_plus_hip_centering
123,avg_world_face_ref,1114,77980,0.1546704472832797,0.1157239633974638,0.4055713689186869,similarity_plus_hip_centering
126,avg_world_face_ref,1130,79100,0.1495235885451546,0.1100501717453351,0.4156718664032294,similarity_plus_hip_centering
13,avg_world_face_ref,967,67690,0.1553619181178567,0.1397345773213446,0.369946039251504,similarity_plus_hip_centering
137,avg_world_face_ref,1112,77840,0.1047032683111488,0.0983682437774577,0.2065169846733683,similarity_plus_hip_centering
17,avg_world_face_ref,1042,72940,0.1293956318144463,0.1197806754285732,0.2498600736800503,similarity_plus_hip_centering
23,avg_world_face_ref,960,67200,0.1293062834708482,0.1222026587152681,0.2595795320028362,similarity_plus_hip_centering
27,avg_world_face_ref,1132,79240,0.1103957317739424,0.09277646481446,0.2517648370389684,similarity_plus_hip_centering
31,avg_world_face_ref,958,67060,0.129612859037032,0.1090089211417502,0.3155159310883798,similarity_plus_hip_centering
32,avg_world_face_ref,954,66780,0.1396583901287064,0.1230628257878174,0.3200585036242635,similarity_plus_hip_centering
34,avg_world_face_ref,960,67200,0.1457703737989424,0.1333464389203202,0.3236415368400565,similarity_plus_hip_centering
37,avg_world_face_ref,943,66010,0.1063241269189134,0.0990293408342568,0.189982132058823,similarity_plus_hip_centering
